SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1643108926.708363, 1.205481, -9.744251, 0.963068, , , , , , 
1643108926.725065, 0.434697, -10.466701, 1.858050, , , , , , 
1643108926.741765, 0.683245, -10.212318, 1.925237, , , , , , 
1643108926.758350, 0.842759, -9.971551, 1.823783, , , , , , 
1643108926.775099, 1.148020, -10.245238, 1.468095, , , , , , 
1643108926.790883, 1.080683, -10.502315, 1.254262, , , , , , 
1643108926.808334, 1.143082, -10.891672, 1.413776, , , , , , 
1643108926.825074, 0.802058, -10.843190, 1.605611, , , , , , 
1643108926.841731, 0.183007, -10.224139, 1.420809, , , , , , 
1643108926.858333, 0.305859, -10.234913, 1.446547, , , , , , 
1643108926.874979, 0.336834, -11.873295, 0.854880, , , , , , 
1643108926.891634, 0.354940, -12.134263, 1.919102, , , , , , 
1643108926.908318, -0.070330, -11.767950, 0.657508, , , , , , 
1643108926.924386, -0.465672, -11.098471, 0.040552, , , , , , 
1643108926.941780, -0.885555, -10.274716, 0.800412, , , , , , 
1643108926.958310, -0.846799, -9.424625, 0.896180, , , , , , 
1643108926.975069, -1.112406, -10.259304, 0.677559, , , , , , 
1643108926.991640, -0.628328, -10.350882, 0.426168, , , , , , 
1643108927.008368, -0.073622, -8.972420, -0.730082, , , , , , 
1643108927.024974, -1.107019, -9.384672, -0.018854, , , , , , 
1643108927.041670, -1.277307, -9.159467, -0.664092, , , , , , 
1643108927.058293, -1.770961, -9.115025, -0.561740, , , , , , 
1643108927.074205, -1.339257, -9.090036, -0.365714, , , , , , 
1643108927.091712, -1.331475, -9.188946, -0.444424, , , , , , 
1643108927.108283, -1.572990, -9.138817, -0.390105, , , , , , 
1643108927.125052, -1.548001, -9.222914, -0.440383, , , , , , 
1643108927.141652, -1.600823, -9.449465, 0.098910, , , , , , 
1643108927.157557, -1.444751, -9.707291, 0.132429, , , , , , 
1643108927.175082, -1.448642, -9.767146, -0.341024, , , , , , 
1643108927.191646, -1.582717, -9.531766, -0.212036, , , , , , 
1643108927.208352, -1.808819, -9.220669, 0.052373, , , , , , 
1643108927.225018, -1.809568, -9.418640, 0.307505, , , , , , 
1643108927.241641, -1.923741, -9.502287, 0.155473, , , , , , 
1643108927.258395, -1.710358, -9.513660, 0.345663, , , , , , 
1643108927.274972, -1.524508, -9.538649, 0.640449, , , , , , 
1643108927.291650, -1.358261, -9.614515, 0.488118, , , , , , 
1643108927.308380, -2.129792, -9.417742, 0.613215, , , , , , 
1643108927.324966, -2.223914, -9.319280, 0.783502, , , , , , 
1643108927.341371, -2.142960, -9.409213, 0.629525, , , , , , 
1643108927.358181, -1.627010, -9.384223, 0.886004, , , , , , 
1643108927.374995, -1.021726, -9.200618, 0.834379, , , , , , 
1643108927.391739, -1.627758, -8.828469, -0.073023, , , , , , 
1643108927.408293, -2.097021, -8.899547, 2.067992, , , , , , 
1643108927.425131, -0.005237, -10.450990, 0.172383, , , , , , 
1643108927.441699, -1.176152, -9.513809, 0.986561, , , , , , 
1643108927.458335, -2.089390, -9.249250, 1.127070, , , , , , 
1643108927.475008, -1.641824, -9.342773, 1.125424, , , , , , 
1643108927.491730, -1.319205, -9.238925, 1.140687, , , , , , 
1643108927.508324, -1.497424, -9.057415, 1.087566, , , , , , 
1643108927.525002, -1.579126, -9.255984, 1.186776, , , , , , 
1643108927.541696, -1.262343, -9.557054, 1.032649, , , , , , 
1643108927.558348, -0.998981, -10.023026, 0.913538, , , , , , 
1643108927.575048, -1.247828, -10.067618, 0.989553, , , , , , 
1643108927.591678, -1.447145, -10.219949, 1.302146, , , , , , 
1643108927.608334, -1.238102, -10.542568, 1.624466, , , , , , 
1643108927.624992, -0.967407, -10.433781, 1.775301, , , , , , 
1643108927.641830, -0.946009, -10.344747, 1.636586, , , , , , 
1643108927.658333, -1.119738, -10.807277, 0.590769, , , , , , 
